timestamp_utc,temperature_c,pressure_hpa,humidity_percent
2025-12-21T19:25:42+00:00,5.20,1005.27,89.85
2025-12-21T19:25:57+00:00,5.21,1005.22,89.84
2025-12-21T19:26:12+00:00,5.21,1005.17,89.84
2025-12-21T19:26:27+00:00,5.21,1005.22,89.85
2025-12-21T19:26:42+00:00,5.21,1005.37,89.87
2025-12-21T19:26:57+00:00,5.21,1005.25,89.88
2025-12-21T19:27:12+00:00,5.21,1005.26,89.90
2025-12-21T19:27:27+00:00,5.20,1005.24,89.94
2025-12-21T19:27:42+00:00,5.21,1005.26,89.97
2025-12-21T19:27:57+00:00,5.21,1005.21,89.99
2025-12-21T19:28:12+00:00,5.22,1005.28,90.00
2025-12-21T19:28:27+00:00,5.23,1005.29,90.02
2025-12-21T19:28:42+00:00,5.23,1005.29,90.02
2025-12-21T19:28:57+00:00,5.21,1005.26,90.04
2025-12-21T19:29:12+00:00,5.22,1005.19,90.03
2025-12-21T19:29:27+00:00,5.21,1005.21,90.03
2025-12-21T19:29:42+00:00,5.21,1005.26,90.04
2025-12-21T19:29:57+00:00,5.20,1005.24,90.02
2025-12-21T19:30:12+00:00,5.20,1005.26,90.02
2025-12-21T19:30:27+00:00,5.19,1005.25,90.01
2025-12-21T19:30:42+00:00,5.17,1005.25,89.95
2025-12-21T19:30:57+00:00,5.17,1005.24,89.99
2025-12-21T19:31:12+00:00,5.18,1005.26,90.02
2025-12-21T19:31:27+00:00,5.17,1005.25,90.05
2025-12-21T19:31:42+00:00,5.17,1005.33,90.05
2025-12-21T19:31:57+00:00,5.17,1005.25,90.07
2025-12-21T19:32:12+00:00,5.17,1005.27,90.05
2025-12-21T19:32:27+00:00,5.16,1005.26,90.05
2025-12-21T19:32:42+00:00,5.15,1005.29,90.07
2025-12-21T19:32:57+00:00,5.15,1005.24,90.06
2025-12-21T19:33:12+00:00,5.15,1005.21,90.07
2025-12-21T19:33:27+00:00,5.15,1005.26,90.08
2025-12-21T19:33:42+00:00,5.14,1005.28,90.07
2025-12-21T19:33:57+00:00,5.13,1005.26,90.07
2025-12-21T19:34:12+00:00,5.14,1005.22,90.05
2025-12-21T19:34:27+00:00,5.13,1005.32,90.08
2025-12-21T19:34:42+00:00,5.12,1005.24,90.06
2025-12-21T19:34:57+00:00,5.12,1005.24,90.05
2025-12-21T19:35:12+00:00,5.12,1005.24,90.06
2025-12-21T19:35:27+00:00,5.12,1005.33,90.06
2025-12-21T19:35:42+00:00,5.11,1005.19,90.07
2025-12-21T19:35:57+00:00,5.11,1005.33,90.07
2025-12-21T19:36:12+00:00,5.10,1005.28,90.04
2025-12-21T19:36:27+00:00,5.11,1005.25,90.07
2025-12-21T19:36:42+00:00,5.08,1005.29,90.07
2025-12-21T19:36:57+00:00,5.09,1005.28,90.06
2025-12-21T19:37:12+00:00,5.08,1005.26,90.08
2025-12-21T19:37:27+00:00,5.07,1005.27,90.08
2025-12-21T19:37:42+00:00,5.08,1005.26,90.08
2025-12-21T19:37:57+00:00,5.08,1005.26,90.07
2025-12-21T19:38:12+00:00,5.07,1005.21,90.07
2025-12-21T19:38:27+00:00,5.07,1005.27,90.07
2025-12-21T19:38:42+00:00,5.08,1005.28,90.08
2025-12-21T19:38:57+00:00,5.07,1005.23,90.07
2025-12-21T19:39:12+00:00,5.07,1005.23,90.08
2025-12-21T19:39:27+00:00,5.06,1005.28,90.09
2025-12-21T19:39:42+00:00,5.06,1005.28,90.11
2025-12-21T19:39:57+00:00,5.05,1005.24,90.09
2025-12-21T19:40:12+00:00,5.05,1005.20,90.08
2025-12-21T19:40:27+00:00,5.04,1005.19,90.10
2025-12-21T19:40:42+00:00,5.05,1005.23,90.12
2025-12-21T19:40:57+00:00,5.04,1005.24,90.10
2025-12-21T19:41:12+00:00,5.04,1005.24,90.13
2025-12-21T19:41:27+00:00,5.03,1005.23,90.16
2025-12-21T19:41:42+00:00,5.03,1005.23,90.21
2025-12-21T19:41:57+00:00,5.04,1005.21,90.23
2025-12-21T19:42:12+00:00,5.04,1005.21,90.27
2025-12-21T19:42:27+00:00,5.04,1005.29,90.33
2025-12-21T19:42:42+00:00,5.05,1005.23,90.35
2025-12-21T19:42:57+00:00,5.05,1005.24,90.37
2025-12-21T19:43:12+00:00,5.05,1005.24,90.37
2025-12-21T19:43:27+00:00,5.06,1005.28,90.39
2025-12-21T19:43:42+00:00,5.07,1005.23,90.39
2025-12-21T19:43:57+00:00,5.06,1005.23,90.40
2025-12-21T19:44:12+00:00,5.06,1005.25,90.41
2025-12-21T19:44:27+00:00,5.06,1005.28,90.41
2025-12-21T19:44:42+00:00,5.06,1005.23,90.41
2025-12-21T19:44:57+00:00,5.06,1005.22,90.43
2025-12-21T19:45:12+00:00,5.06,1005.22,90.43
2025-12-21T19:45:27+00:00,5.05,1005.26,90.44
2025-12-21T19:45:42+00:00,5.06,1005.22,90.46
2025-12-21T19:45:57+00:00,5.05,1005.26,90.45
2025-12-21T19:46:12+00:00,5.05,1005.21,90.47
2025-12-21T19:46:27+00:00,5.05,1005.20,90.48
2025-12-21T19:46:42+00:00,5.05,1005.18,90.51
2025-12-21T19:46:57+00:00,5.04,1005.22,90.49
2025-12-21T19:47:12+00:00,5.04,1005.25,90.53
2025-12-21T19:47:27+00:00,5.04,1005.25,90.51
2025-12-21T19:47:42+00:00,5.04,1005.25,90.53
2025-12-21T19:47:57+00:00,5.03,1005.23,90.54
2025-12-21T19:48:12+00:00,5.04,1005.24,90.53
2025-12-21T19:48:27+00:00,5.03,1005.25,90.55
2025-12-21T19:48:42+00:00,5.02,1005.21,90.52
2025-12-21T19:48:57+00:00,5.02,1005.19,90.53
2025-12-21T19:49:12+00:00,5.02,1005.24,90.52
2025-12-21T19:49:27+00:00,5.02,1005.24,90.55
2025-12-21T19:49:42+00:00,5.02,1005.26,90.55
2025-12-21T19:49:57+00:00,5.01,1005.20,90.54
2025-12-21T19:50:12+00:00,5.02,1005.27,90.55
2025-12-21T19:50:27+00:00,5.01,1005.22,90.57
2025-12-21T19:50:42+00:00,5.01,1005.25,90.57
2025-12-21T19:50:57+00:00,5.00,1005.22,90.57
2025-12-21T19:51:12+00:00,5.00,1005.22,90.56
2025-12-21T19:51:27+00:00,5.00,1005.20,90.59
2025-12-21T19:51:42+00:00,4.99,1005.22,90.57
2025-12-21T19:51:57+00:00,5.00,1005.25,90.58
2025-12-21T19:52:12+00:00,4.99,1005.32,90.58
2025-12-21T19:52:27+00:00,4.98,1005.27,90.56
2025-12-21T19:52:42+00:00,4.98,1005.28,90.60
2025-12-21T19:52:57+00:00,4.99,1005.26,90.62
2025-12-21T19:53:12+00:00,4.99,1005.29,90.63
2025-12-21T19:53:27+00:00,4.98,1005.28,90.61
2025-12-21T19:53:42+00:00,4.98,1005.25,90.64
2025-12-21T19:53:57+00:00,4.98,1005.25,90.66
2025-12-21T19:54:12+00:00,4.99,1005.32,90.67
2025-12-21T19:54:27+00:00,4.98,1005.20,90.70
2025-12-21T19:54:42+00:00,4.98,1005.28,90.69
2025-12-21T19:54:57+00:00,4.99,1005.32,90.72
2025-12-21T19:55:12+00:00,4.98,1005.20,90.73
2025-12-21T19:55:27+00:00,4.99,1005.32,90.71
2025-12-21T19:55:42+00:00,4.99,1005.22,90.72
2025-12-21T19:55:57+00:00,4.99,1005.34,90.71
2025-12-21T19:56:12+00:00,4.99,1005.22,90.73
2025-12-21T19:56:27+00:00,4.98,1005.25,90.70
2025-12-21T19:56:42+00:00,4.97,1005.18,90.67
2025-12-21T19:56:57+00:00,4.98,1005.28,90.71
2025-12-21T19:57:12+00:00,4.99,1005.30,90.73
2025-12-21T19:57:27+00:00,4.98,1005.31,90.77
2025-12-21T19:57:42+00:00,4.99,1005.29,90.78
2025-12-21T19:57:57+00:00,4.98,1005.24,90.79
2025-12-21T19:58:12+00:00,4.98,1005.25,90.80
2025-12-21T19:58:27+00:00,4.98,1005.24,90.81
2025-12-21T19:58:42+00:00,4.97,1005.26,90.82
2025-12-21T19:58:57+00:00,4.97,1005.28,90.83
2025-12-21T19:59:12+00:00,4.96,1005.25,90.82
2025-12-21T19:59:27+00:00,4.96,1005.27,90.81
2025-12-21T19:59:42+00:00,4.95,1005.26,90.81
2025-12-21T19:59:57+00:00,4.95,1005.26,90.79
2025-12-21T20:00:12+00:00,4.94,1005.18,90.78
2025-12-21T20:00:27+00:00,4.94,1005.24,90.81
2025-12-21T20:00:42+00:00,4.93,1005.28,90.81
2025-12-21T20:00:57+00:00,4.93,1005.25,90.82
2025-12-21T20:01:12+00:00,4.93,1005.24,90.85
2025-12-21T20:01:27+00:00,4.93,1005.30,90.85
2025-12-21T20:01:42+00:00,4.93,1005.22,90.85
2025-12-21T20:01:57+00:00,4.93,1005.30,90.85
2025-12-21T20:02:12+00:00,4.93,1005.28,90.85
2025-12-21T20:02:27+00:00,4.91,1005.22,90.86
2025-12-21T20:02:42+00:00,4.91,1005.24,90.84
2025-12-21T20:02:57+00:00,4.91,1005.19,90.84
2025-12-21T20:03:12+00:00,4.91,1005.29,90.84
2025-12-21T20:03:27+00:00,4.90,1005.23,90.82
2025-12-21T20:03:42+00:00,4.90,1005.23,90.85
2025-12-21T20:03:57+00:00,4.90,1005.27,90.85
2025-12-21T20:04:12+00:00,4.89,1005.18,90.86
2025-12-21T20:04:27+00:00,4.89,1005.21,90.87
2025-12-21T20:04:42+00:00,4.89,1005.21,90.90
2025-12-21T20:04:57+00:00,4.89,1005.23,90.89
2025-12-21T20:05:12+00:00,4.89,1005.26,90.89
2025-12-21T20:05:27+00:00,4.88,1005.27,90.92
2025-12-21T20:05:42+00:00,4.88,1005.21,90.92
2025-12-21T20:05:57+00:00,4.89,1005.26,90.91
2025-12-21T20:06:12+00:00,4.88,1005.25,90.93
2025-12-21T20:06:27+00:00,4.88,1005.22,90.96
2025-12-21T20:06:42+00:00,4.88,1005.22,90.96
2025-12-21T20:06:57+00:00,4.89,1005.24,90.98
2025-12-21T20:07:12+00:00,4.89,1005.23,90.99
2025-12-21T20:07:27+00:00,4.90,1005.25,91.00
2025-12-21T20:07:42+00:00,4.89,1005.16,91.01
2025-12-21T20:07:57+00:00,4.90,1005.25,90.97
2025-12-21T20:08:12+00:00,4.90,1005.17,90.99
2025-12-21T20:08:27+00:00,4.89,1005.26,90.97
2025-12-21T20:08:42+00:00,4.89,1005.26,90.97
2025-12-21T20:08:57+00:00,4.88,1005.25,90.91
2025-12-21T20:09:12+00:00,4.88,1005.21,90.97
2025-12-21T20:09:27+00:00,4.88,1005.21,90.96
2025-12-21T20:09:42+00:00,4.88,1005.25,90.98
2025-12-21T20:09:57+00:00,4.88,1005.24,90.98
2025-12-21T20:10:12+00:00,4.87,1005.22,90.98
2025-12-21T20:10:27+00:00,4.87,1005.22,90.99
2025-12-21T20:10:42+00:00,4.87,1005.22,90.99
2025-12-21T20:10:57+00:00,4.87,1005.20,91.00
2025-12-21T20:11:12+00:00,4.87,1005.20,91.02
2025-12-21T20:11:27+00:00,4.86,1005.26,91.02
2025-12-21T20:11:42+00:00,4.86,1005.27,91.02
2025-12-21T20:11:57+00:00,4.85,1005.22,91.00
2025-12-21T20:12:12+00:00,4.86,1005.21,91.01
2025-12-21T20:12:27+00:00,4.86,1005.21,91.04
2025-12-21T20:12:42+00:00,4.86,1005.16,91.05
2025-12-21T20:12:57+00:00,4.86,1005.27,91.06
2025-12-21T20:13:12+00:00,4.86,1005.21,91.06
2025-12-21T20:13:27+00:00,4.85,1005.20,91.06
2025-12-21T20:13:42+00:00,4.86,1005.21,91.07
2025-12-21T20:13:57+00:00,4.87,1005.33,91.06
2025-12-21T20:14:12+00:00,4.86,1005.21,91.09
2025-12-21T20:14:27+00:00,4.86,1005.21,91.09
2025-12-21T20:14:42+00:00,4.86,1005.26,91.11
2025-12-21T20:14:57+00:00,4.85,1005.22,91.09
2025-12-21T20:15:12+00:00,4.87,1005.30,91.10
2025-12-21T20:15:27+00:00,4.87,1005.25,91.13
2025-12-21T20:15:42+00:00,4.86,1005.16,91.11
2025-12-21T20:15:57+00:00,4.87,1005.22,91.14
2025-12-21T20:16:12+00:00,4.86,1005.21,91.15
2025-12-21T20:16:27+00:00,4.86,1005.21,91.14
2025-12-21T20:16:42+00:00,4.87,1005.25,91.15
2025-12-21T20:16:57+00:00,4.87,1005.20,91.15
2025-12-21T20:17:12+00:00,4.86,1005.19,91.15
